Email,Sources
princeton.edu,5 Jul 2017
medschl.cam.ac.uk,6 Jul 2017
warwick.ac.uk,8 Jul 2017
exeter.ac.uk,10 Jul 2017
epcc.ed.ac.uk,11 Jul 2017
pml.ac.uk,17 Jul 2017
lic.co.nz,17 Jul 2017
manchester.ac.uk,20 Jul 2017
amazon.com,20 Jul 2017
ucl.ac.uk,20 Jul 2017
staszic.waw.pl,20 Jul 2017
nd.edu,21 Jul 2017
aber.ac.uk,24 Jul 2017
gmail.com,24 Jul 2017
soton.ac.uk,24 Jul 2017
dundee.ac.uk,24 Jul 2017
hotmail.co.uk,24 Jul 2017
ukaea.uk,27 Jul 2017
stfc.ac.uk,27 Jul 2017
nottingham.ac.uk,1 Aug 2017
niwa.co.nz,1 Aug 2017
aperiosoftware.com,3 Aug 2017
esciencecenter.nl,3 Aug 2017
stfc.ac.uk,3 Aug 2017
stfc.ac.uk,3 Aug 2017
ed.ac.uk,3 Aug 2017
manchester.ac.uk,3 Aug 2017
csg.uwaterloo.ca,3 Aug 2017
gmail.com,3 Aug 2017
canarie.ca,3 Aug 2017
esciencecenter.nl,3 Aug 2017
fz-juelich.de,3 Aug 2017
stfc.ac.uk,3 Aug 2017
stfc.ac.uk,3 Aug 2017
choderalab.org,3 Aug 2017
gmail.com,3 Aug 2017
cam.ac.uk,3 Aug 2017
timstaley.co.uk,3 Aug 2017
manchester.ac.uk,3 Aug 2017
gmail.com,3 Aug 2017
metoffice.gov.uk,3 Aug 2017
jisc.ac.uk,3 Aug 2017
dlr.de,3 Aug 2017
cam.ac.uk,3 Aug 2017
cam.ac.uk,4 Aug 2017
qub.ac.uk,8 Aug 2017
fotomarburg.de,9 Aug 2017
googlemail.com,10 Aug 2017
phys.tw,11 Aug 2017
gmail.com,11 Aug 2017
gmail.com,13 Aug 2017
gmail.com,14 Aug 2017
stfc.ac.uk,22 Aug 2017
kcl.ac.uk,22 Aug 2017
stfc.ac.uk,23 Aug 2017
stfc.ac.uk,23 Aug 2017
ph.ed.ac.uk,23 Aug 2017
arm.com,23 Aug 2017
ocf.co.uk,23 Aug 2017
imperial.ac.uk,23 Aug 2017
manchester.ac.uk,23 Aug 2017
lenovo.com,23 Aug 2017
damtp.cam.ac.uk,23 Aug 2017
nwu.ac.za,23 Aug 2017
ucl.ac.uk,23 Aug 2017
stfc.ac.uk,29 Aug 2017
jumpstartuk.co.uk,30 Aug 2017
library.ucla.edu,30 Aug 2017
gmail.com,31 Aug 2017
microsoft.com,31 Aug 2017
epcc.ed.ac.uk,4 Sep 2017
epcc.ed.ac.uk,4 Sep 2017
sheffield.ac.uk,4 Sep 2017
garymacindoe.co.uk,6 Sep 2017
epcc.ed.ac.uk,6 Sep 2017
nottingham.ac.uk,6 Sep 2017
gmail.com,7 Sep 2017
mellanox.com,7 Sep 2017
nottingham.ac.uk,7 Sep 2017
hull.ac.uk,8 Sep 2017
york.ac.uk,8 Sep 2017
gmail.com,9 Sep 2017
icloud.com,12 Sep 2017
earlham.ac.uk,13 Sep 2017
gmail.com,15 Sep 2017
liverpool.ac.uk,19 Sep 2017
newcastle.ac.uk,19 Sep 2017
leicester.ac.uk,21 Sep 2017
gmail.com,21 Sep 2017
cern.ch,22 Sep 2017
ed.ac.uk,22 Sep 2017
bham.ac.uk,25 Sep 2017
hu-berlin.de,27 Sep 2017
ouce.ox.ac.uk,28 Sep 2017
imperial.ac.uk,2 Oct 2017
ndph.ox.ac.uk,3 Oct 2017
cs.ox.ac.uk,5 Oct 2017
cam.ac.uk,5 Oct 2017
eng.ox.ac.uk,5 Oct 2017
qmul.ac.uk,16 Oct 2017
qub.ac.uk,18 Oct 2017
gmail.com,18 Oct 2017
lboro.ac.uk,19 Oct 2017
surrey.ac.uk,20 Oct 2017
ed.ac.uk,22 Oct 2017
gmail.com,28 Oct 2017
vuw.ac.nz,31 Oct 2017
gwmail.gwu.edu,1 Nov 2017
hw.ac.uk,1 Nov 2017
bristol.ac.uk,6 Nov 2017
york.ac.uk,7 Nov 2017
soton.ac.uk,7 Nov 2017
microsoft.com,7 Nov 2017
soton.ac.uk,7 Nov 2017
bham.ac.uk,7 Nov 2017
gmail.com,7 Nov 2017
gmail.com,8 Nov 2017
nottingham.ac.uk,8 Nov 2017
dtc.ox.ac.uk,8 Nov 2017
nottingham.ac.uk,9 Nov 2017
highendcompute.co.uk,9 Nov 2017
earlham.ac.uk,9 Nov 2017
physics.ox.ac.uk,10 Nov 2017
manchester.ac.uk,10 Nov 2017
manchester.ac.uk,13 Nov 2017
dlr.de,13 Nov 2017
gmail.com,13 Nov 2017
me.com,14 Nov 2017
gmail.com,14 Nov 2017
bnc.ox.ac.uk,16 Nov 2017
york.ac.uk,16 Nov 2017
stats.ox.ac.uk,17 Nov 2017
inria.fr,22 Nov 2017
irisa.fr,22 Nov 2017
swansea.ac.uk,24 Nov 2017
swansea.ac.uk,24 Nov 2017
gmail.com,24 Nov 2017
crimson.ua.edu,29 Nov 2017
ens-lyon.fr,29 Nov 2017
cern.ch,30 Nov 2017
st-andrews.ac.uk,30 Nov 2017
crick.ac.uk,30 Nov 2017
staffmail.ed.ac.uk,1 Dec 2017
postgrad.manchester.ac.uk,1 Dec 2017
gmail.com,6 Dec 2017
gmail.com,6 Dec 2017
nottingham.ac.uk,7 Dec 2017
ucl.ac.uk,7 Dec 2017
icloud.com,7 Dec 2017
jisc.ac.uk,13 Dec 2017
bath.ac.uk,14 Dec 2017
york.ac.uk,18 Dec 2017
gmail.com,19 Dec 2017
gmail.com,21 Dec 2017
gmail.com,26 Dec 2017
microsoft.com,2 Jan 2018
turing.ac.uk,3 Jan 2018
gmail.com,3 Jan 2018
uni-muenster.de,5 Jan 2018
sciencedocks.com,9 Jan 2018
gmail.com,10 Jan 2018
gmail.com,15 Jan 2018
gmail.com,15 Jan 2018
robblackwell.com,18 Jan 2018
gmail.com,18 Jan 2018
cardiff.ac.uk,23 Jan 2018
chi.scot,26 Jan 2018
open.ac.uk,30 Jan 2018
ebi.ac.uk,30 Jan 2018
metoffice.gov.uk,30 Jan 2018
leeds.ac.uk,30 Jan 2018
soton.ac.uk,30 Jan 2018
exeter.ac.uk,31 Jan 2018
gmail.com,31 Jan 2018
gmail.com,31 Jan 2018
iki.fi,1 Feb 2018
leicester.ac.uk,2 Feb 2018
leicester.ac.uk,6 Feb 2018
epcc.ed.ac.uk,6 Feb 2018
imperial.ac.uk,7 Feb 2018
stfc.ac.uk,7 Feb 2018
nag.co.uk,12 Feb 2018
leicester.ac.uk,13 Feb 2018
stx.ox.ac.uk,15 Feb 2018
gmail.com,15 Feb 2018
gmail.com,16 Feb 2018
bath.ac.uk,16 Feb 2018
aices.rwth-aachen.de,20 Feb 2018
hull.ac.uk,21 Feb 2018
durham.ac.uk,21 Feb 2018
gmx.ch,21 Feb 2018
soton.ac.uk,22 Feb 2018
adw.uni-heidelberg.de,22 Feb 2018
gmail.com,23 Feb 2018
mpe.mpg.de,23 Feb 2018
sandia.gov,1 Mar 2018
software.ac.uk,1 Mar 2018
iu.edu,2 Mar 2018
gmail.com,2 Mar 2018
gmail.com,5 Mar 2018
open.ac.uk,5 Mar 2018
cruk.cam.ac.uk,8 Mar 2018
manchester.ac.uk,8 Mar 2018
gmail.com,8 Mar 2018
gmail.com,9 Mar 2018
gmail.com,9 Mar 2018
gmail.com,12 Mar 2018
crick.ac.uk,13 Mar 2018
microsoft.com,14 Mar 2018
cmri.org.au,19 Mar 2018
st-andrews.ac.uk,19 Mar 2018
gmail.com,19 Mar 2018
cam.ac.uk,19 Mar 2018
imperial.ac.uk,19 Mar 2018
cam.ac.uk,19 Mar 2018
icloud.com,19 Mar 2018
medschl.cam.ac.uk,20 Mar 2018
liverpool.ac.uk,20 Mar 2018
gmail.com,20 Mar 2018
st-andrews.ac.uk,20 Mar 2018
the-iea.org,21 Mar 2018
newcastle.ac.uk,21 Mar 2018
manchester.ac.uk,22 Mar 2018
bham.ac.uk,22 Mar 2018
uk.ibm.com,22 Mar 2018
bham.ac.uk,26 Mar 2018
noc.ac.uk,26 Mar 2018
sheffield.ac.uk,28 Mar 2018
uk.ibm.com,29 Mar 2018
gmail.com,29 Mar 2018
gmail.com,31 Mar 2018
newcastle.ac.uk,31 Mar 2018
gmail.com,2 Apr 2018
googlemail.com,2 Apr 2018
scai.fraunhofer.de,4 Apr 2018
cardiff.ac.uk,4 Apr 2018
maths.ox.ac.uk,4 Apr 2018
gmail.com,6 Apr 2018
chelem.co.il,11 Apr 2018
outlook.com,13 Apr 2018
gmail.com,16 Apr 2018
diamond.ac.uk,18 Apr 2018
crick.ac.uk,19 Apr 2018
gmail.com,19 Apr 2018
manchester.ac.uk,20 Apr 2018
ucl.ac.uk,24 Apr 2018
mpimet.mpg.de,26 Apr 2018
stfc.ac.uk,27 Apr 2018
interruptroutine.co.uk,27 Apr 2018
croftedge.com,1 May 2018
ed.ac.uk,1 May 2018
epcc.ed.ac.uk,2 May 2018
gmail.com,2 May 2018
leeds.ac.uk,3 May 2018
soton.ac.uk,4 May 2018
ecs.soton.ac.uk,4 May 2018
davep.co.uk,5 May 2018
ufba.br,9 May 2018
gmail.com,9 May 2018
nottingham.ac.uk,9 May 2018
uhs.nhs.uk,11 May 2018
stfc.ac.uk,11 May 2018
gmail.com,16 May 2018
stfc.ac.uk,16 May 2018
metoffice.gov.uk,17 May 2018
bristol.ac.uk,18 May 2018
gmail.com,18 May 2018
wwarn.org,18 May 2018
bham.ac.uk,20 May 2018
newcastle.ac.uk,21 May 2018
northwestern.edu,23 May 2018
kcl.ac.uk,23 May 2018
durham.ac.uk,24 May 2018
ucc.ie,24 May 2018
icr.ac.uk,24 May 2018
dundee.ac.uk,24 May 2018
hrz.tu-darmstadt.de,25 May 2018
newcastle.ac.uk,25 May 2018
nag.co.uk,1 Jun 2018
soton.ac.uk,1 Jun 2018
ufl.edu,2 Jun 2018
qmul.ac.uk,4 Jun 2018
gmail.com,5 Jun 2018
gmail.com,5 Jun 2018
gmail.com,7 Jun 2018
aston.ac.uk,12 Jun 2018
tropmedres.ac,12 Jun 2018
bath.ac.uk,13 Jun 2018
ucl.ac.uk,13 Jun 2018
hotmail.co.uk,14 Jun 2018
yahoo.co.uk,14 Jun 2018
northwestern.edu,15 Jun 2018
egce.cnrs-gif.fr,19 Jun 2018
student.unimelb.edu.au,19 Jun 2018
gmail.com,19 Jun 2018
gmail.com,21 Jun 2018
intel.com,25 Jun 2018
epcc.ed.ac.uk,25 Jun 2018
elixir-europe.org,26 Jun 2018
reading.ac.uk,27 Jun 2018
gmail.com,2 Jul 2018
gmail.com,4 Jul 2018
gmail.com,5 Jul 2018
yahoo.com,8 Jul 2018
ed.ac.uk,10 Jul 2018
arias.re,13 Jul 2018
climatecode.org,16 Jul 2018
nottingham.ac.uk,20 Jul 2018
gmail.com,20 Jul 2018
ukaea.uk,20 Jul 2018
lancaster.ac.uk,23 Jul 2018
cardiff.ac.uk,25 Jul 2018
stfc.ac.uk,26 Jul 2018
us.es,1 Aug 2018
gmail.com,3 Aug 2018
gmail.com,5 Aug 2018
gmail.com,6 Aug 2018
gmail.com,6 Aug 2018
stfc.ac.uk,10 Aug 2018
stfc.ac.uk,10 Aug 2018
student.matnat.uio.no,10 Aug 2018
it.ox.ac.uk,10 Aug 2018
gmail.com,10 Aug 2018
oerc.ox.ac.uk,10 Aug 2018
geo.uio.no,10 Aug 2018
gmail.com,10 Aug 2018
stfc.ac.uk,10 Aug 2018
bsc.es,10 Aug 2018
microsoft.com,10 Aug 2018
ucl.ac.uk,10 Aug 2018
esciencecenter.nl,10 Aug 2018
oerc.ox.ac.uk,10 Aug 2018
qmul.ac.uk,10 Aug 2018
alces-flight.com,10 Aug 2018
bbaw.de,10 Aug 2018
wellcome.ac.uk,10 Aug 2018
ucl.ac.uk,10 Aug 2018
bham.ac.uk,10 Aug 2018
microsoft.com,10 Aug 2018
canarie.ca,10 Aug 2018
intermine.org,10 Aug 2018
turing.ac.uk,10 Aug 2018
redoakconsulting.co.uk,10 Aug 2018
hu-berlin.de,10 Aug 2018
jisc.ac.uk,10 Aug 2018
durham.ac.uk,10 Aug 2018
manchester.ac.uk,10 Aug 2018
stfc.ac.uk,10 Aug 2018
nottingham.ac.uk,10 Aug 2018
ncl.ac.uk,10 Aug 2018
ciena.com,10 Aug 2018
cray.com,10 Aug 2018
manchester.ac.uk,10 Aug 2018
cardiff.ac.uk,10 Aug 2018
ucl.ac.uk,10 Aug 2018
sagepub.co.uk,10 Aug 2018
google.com,10 Aug 2018
epcc.ed.ac.uk,10 Aug 2018
software.ac.uk,10 Aug 2018
esciencecenter.nl,10 Aug 2018
microsoft.com,10 Aug 2018
well.ox.ac.uk,10 Aug 2018
ischool.utexas.edu,10 Aug 2018
stfc.ac.uk,10 Aug 2018
leeds.ac.uk,10 Aug 2018
genomicsengland.co.uk,10 Aug 2018
york.ac.uk,10 Aug 2018
kth.se,10 Aug 2018
gmail.com,10 Aug 2018
cardiff.ac.uk,10 Aug 2018
gmail.com,10 Aug 2018
gmail.com,10 Aug 2018
imperial.ac.uk,10 Aug 2018
cam.ac.uk,10 Aug 2018
arm.com,10 Aug 2018
cs.ox.ac.uk,10 Aug 2018
open.ac.uk,10 Aug 2018
stfc.ac.uk,10 Aug 2018
unimelb.edu.au,10 Aug 2018
diamond.ac.uk,10 Aug 2018
ncl.ac.uk,10 Aug 2018
oerc.ox.ac.uk,10 Aug 2018
medsci.uu.se,10 Aug 2018
cam.ac.uk,10 Aug 2018
ecs.soton.ac.uk,10 Aug 2018
amazon.com,10 Aug 2018
sigmasd.com,10 Aug 2018
sheffield.ac.uk,10 Aug 2018
physics.ox.ac.uk,10 Aug 2018
arm.com,10 Aug 2018
stfc.ac.uk,10 Aug 2018
eclipse-foundation.org,10 Aug 2018
gmail.com,10 Aug 2018
sandia.gov,10 Aug 2018
microsoft.com,10 Aug 2018
wwu.de,10 Aug 2018
imperial.ac.uk,10 Aug 2018
cresset-group.com,10 Aug 2018
imperial.ac.uk,10 Aug 2018
taylors.edu.my,10 Aug 2018
amazon.co.uk,10 Aug 2018
stfc.ac.uk,10 Aug 2018
soton.ac.uk,10 Aug 2018
stfc.ac.uk,10 Aug 2018
stfc.ac.uk,10 Aug 2018
embl.de,10 Aug 2018
microsoft.com,10 Aug 2018
le.ac.uk,10 Aug 2018
ed.ac.uk,10 Aug 2018
redoakconsulting.co.uk,10 Aug 2018
sheffield.ac.uk,10 Aug 2018
microsoft.com,10 Aug 2018
postgrad.manchester.ac.uk,11 Aug 2018
soton.ac.uk,13 Aug 2018
diamond.ac.uk,13 Aug 2018
cam.ac.uk,13 Aug 2018
gmail.com,14 Aug 2018
kent.ac.uk,14 Aug 2018
uq.edu.au,16 Aug 2018
gmail.com,19 Aug 2018
newcastle.ac.uk,21 Aug 2018
rothamsted.ac.uk,22 Aug 2018
bham.ac.uk,24 Aug 2018
epsrc.ac.uk,24 Aug 2018
ukaea.uk,24 Aug 2018
adobe.com,24 Aug 2018
my.bristol.ac.uk,27 Aug 2018
nottingham.ac.uk,28 Aug 2018
gmail.com,28 Aug 2018
bbaw.de,28 Aug 2018
gmail.com,30 Aug 2018
imperial.ac.uk,30 Aug 2018
stfc.ac.uk,31 Aug 2018
qmul.ac.uk,4 Sep 2018
sgul.ac.uk,4 Sep 2018
stfc.ac.uk,5 Sep 2018
gmail.com,7 Sep 2018
gmail.com,11 Sep 2018
outlook.com,12 Sep 2018
ed.ac.uk,18 Sep 2018
rolls-royce.com,18 Sep 2018
epcc.ed.ac.uk,18 Sep 2018
ed.ac.uk,19 Sep 2018
earth.ox.ac.uk,19 Sep 2018
gmail.com,19 Sep 2018
york.ac.uk,19 Sep 2018
liamekaens.com,19 Sep 2018
ntnu.no,20 Sep 2018
leeds.ac.uk,22 Sep 2018
hull.ac.uk,25 Sep 2018
microsoft.com,26 Sep 2018
ed.ac.uk,26 Sep 2018
gmail.com,27 Sep 2018
ed.ac.uk,27 Sep 2018
gmail.com,1 Oct 2018
me.com,2 Oct 2018
epcc.ed.ac.uk,2 Oct 2018
ukaea.uk,3 Oct 2018
bham.ac.uk,3 Oct 2018
uhs.nhs.uk,4 Oct 2018
gmail.com,4 Oct 2018
microsoft.com,5 Oct 2018
gmail.com,8 Oct 2018
ed.ac.uk,8 Oct 2018
sms.ed.ac.uk,10 Oct 2018
stfc.ac.uk,11 Oct 2018
kuleuven.be,11 Oct 2018
gmail.com,12 Oct 2018
gmail.com,12 Oct 2018
me.com,13 Oct 2018
student.bham.ac.uk,15 Oct 2018
ed.ac.uk,15 Oct 2018
ub.uni-leipzig.de,16 Oct 2018
stfc.ac.uk,16 Oct 2018
leeds.ac.uk,16 Oct 2018
gmail.com,17 Oct 2018
rhul.ac.uk,17 Oct 2018
nhs.net,18 Oct 2018
gmail.com,18 Oct 2018
outlook.com,18 Oct 2018
stfc.ac.uk,18 Oct 2018
gmail.com,20 Oct 2018
gmail.com,22 Oct 2018
leeds.ac.uk,23 Oct 2018
coll.mpg.de,24 Oct 2018
npl.co.uk,25 Oct 2018
ed.ac.uk,26 Oct 2018
gmail.com,26 Oct 2018
uws.ac.uk,1 Nov 2018
zedat.fu-berlin.de,1 Nov 2018
pucp.edu.pe,5 Nov 2018
gmail.com,5 Nov 2018
outlook.com,6 Nov 2018
ucl.ac.uk,9 Nov 2018
kcl.ac.uk,12 Nov 2018
gmail.com,12 Nov 2018
stfc.ac.uk,13 Nov 2018
gmail.com,14 Nov 2018
kcl.ac.uk,16 Nov 2018
gmail.com,16 Nov 2018
gmail.com,19 Nov 2018
strath.ac.uk,21 Nov 2018
pm.me,22 Nov 2018
ufrontera.cl,25 Nov 2018
ed.ac.uk,27 Nov 2018
u.northwestern.edu,2 Dec 2018
strath.ac.uk,4 Dec 2018
turing.ac.uk,5 Dec 2018
gmail.com,5 Dec 2018
gmail.com,7 Dec 2018
gmail.com,7 Dec 2018
ed.ac.uk,8 Dec 2018
ebi.ac.uk,11 Dec 2018
imperial.ac.uk,12 Dec 2018
imperial.ac.uk,13 Dec 2018
vt.edu,14 Dec 2018
gmail.com,16 Dec 2018
leeds.ac.uk,21 Dec 2018
kit.edu,21 Dec 2018
gmail.com,23 Dec 2018
scotek.org,4 Jan 2019
ucl.ac.uk,7 Jan 2019
gmail.com,7 Jan 2019
stfc.ac.uk,10 Jan 2019
ed.ac.uk,11 Jan 2019
york.ac.uk,11 Jan 2019
soton.ac.uk,15 Jan 2019
unirc.it,15 Jan 2019
imperial.ac.uk,15 Jan 2019
nottingham.ac.uk,23 Jan 2019
liverpool.ac.uk,23 Jan 2019
lancaster.ac.uk,24 Jan 2019
gmail.com,24 Jan 2019
mawds.co.uk,25 Jan 2019
namrc.co.uk,25 Jan 2019
npl.co.uk,29 Jan 2019
metoffice.gov.uk,30 Jan 2019
ed.ac.uk,31 Jan 2019
nag.co.uk,31 Jan 2019
gmail.com,1 Feb 2019
gmail.com,6 Feb 2019
strath.ac.uk,7 Feb 2019
strath.ac.uk,7 Feb 2019
bristol.ac.uk,7 Feb 2019
cern.ch,8 Feb 2019
oncology.ox.ac.uk,8 Feb 2019
imperial.ac.uk,11 Feb 2019
cardiff.ac.uk,13 Feb 2019
noc.ac.uk,15 Feb 2019
gmail.com,18 Feb 2019
gmail.com,19 Feb 2019
googlemail.com,20 Feb 2019
visus.uni-stuttgart.de,25 Feb 2019
gmail.com,25 Feb 2019
arm.com,28 Feb 2019
googlemail.com,1 Mar 2019
sheffield.ac.uk,4 Mar 2019
hotmail.co.uk,4 Mar 2019
ucl.ac.uk,7 Mar 2019
leeds.ac.uk,13 Mar 2019
bl.uk,15 Mar 2019
gmail.com,15 Mar 2019
gmail.com,21 Mar 2019
imperial.ac.uk,25 Mar 2019
cam.ac.uk,27 Mar 2019
gmail.com,27 Mar 2019
stfc.ac.uk,27 Mar 2019
ed.ac.uk,27 Mar 2019
ukopenmpusers.co.uk,27 Mar 2019
caltech.edu,28 Mar 2019
gmail.com,28 Mar 2019
manchester.ac.uk,29 Mar 2019
manchester.ac.uk,29 Mar 2019
hw.ac.uk,29 Mar 2019
turing.ac.uk,29 Mar 2019
newcastle.ac.uk,29 Mar 2019
epsrc.ukri.org,3 Apr 2019
nhs.net,5 Apr 2019
arm.com,5 Apr 2019
gmail.com,6 Apr 2019
dtc.ox.ac.uk,10 Apr 2019
gmail.com,11 Apr 2019
bytes.nz,12 Apr 2019
gmail.com,12 Apr 2019
amansoni.com,14 Apr 2019
gmail.com,14 Apr 2019
sgul.ac.uk,16 Apr 2019
manchester.ac.uk,17 Apr 2019
illinois.edu,23 Apr 2019
suse.com,24 Apr 2019
soton.ac.uk,26 Apr 2019
uzh.ch,28 Apr 2019
imperial.ac.uk,30 Apr 2019
bham.ac.uk,30 Apr 2019
stfc.ac.uk,1 May 2019
gmail.com,1 May 2019
day-online.org.uk,2 May 2019
cs.ox.ac.uk,3 May 2019
fibertide.com,8 May 2019
bham.ac.uk,15 May 2019
epcc.ed.ac.uk,16 May 2019
bl.uk,16 May 2019
reading.ac.uk,16 May 2019
rutgers.edu,21 May 2019
mrc-cbu.cam.ac.uk,22 May 2019
med.unideb.hu,22 May 2019
gmail.com,22 May 2019
gmail.com,23 May 2019
diehlpk.de,24 May 2019
gmail.com,26 May 2019
gmail.com,26 May 2019
leeds.ac.uk,27 May 2019
gmail.com,31 May 2019
ucl.ac.uk,3 Jun 2019
hw.ac.uk,5 Jun 2019
ieee.org,7 Jun 2019
hunn.ca,8 Jun 2019
ast.cam.ac.uk,9 Jun 2019
gmail.com,11 Jun 2019
anu.edu.au,13 Jun 2019
newcastle.ac.uk,14 Jun 2019
gmail.com,14 Jun 2019
gmx.de,14 Jun 2019
kcl.ac.uk,15 Jun 2019
metoffice.gov.uk,16 Jun 2019
gmail.com,17 Jun 2019
metoffice.gov.uk,19 Jun 2019
gmail.com,19 Jun 2019
outlook.de,22 Jun 2019
leeds.ac.uk,24 Jun 2019
sruc.ac.uk,26 Jun 2019
gmail.com,26 Jun 2019
awi.de,27 Jun 2019
reading.ac.uk,27 Jun 2019
hw.ac.uk,4 Jul 2019
gmail.com,5 Jul 2019
gmail.com,8 Jul 2019
gmail.com,9 Jul 2019
gmail.com,12 Jul 2019
turingbirds.com,15 Jul 2019
gmail.com,16 Jul 2019
me.com,8 Aug 2019
society-rse.org,8 Aug 2019
exeter.ac.uk,13 Aug 2019
stfc.ac.uk,20 Aug 2019
srlab.co.uk,21 Aug 2019
gmail.com,26 Aug 2019
hutton.ac.uk,26 Aug 2019
exeter.ac.uk,28 Aug 2019
iisc.ac.in,29 Aug 2019
gmail.com,29 Aug 2019
newcastle.ac.uk,2 Sep 2019
esr.cri.nz,5 Sep 2019
gmail.com,6 Sep 2019
gmail.com,18 Sep 2019
imperial.ac.uk,18 Sep 2019
gmail.com,18 Sep 2019
bristol.ac.uk,1 Oct 2019
gmail.com,1 Oct 2019
bath.ac.uk,1 Oct 2019
gmail.com,1 Oct 2019
gmail.com,1 Oct 2019
rutgers.edu,1 Oct 2019
esciencecenter.nl,22 Oct 2019
bristol.ac.uk,23 Oct 2019
noc.ac.uk,28 Oct 2019
mdpi.com,5 Nov 2019
turing.ac.uk,14 Nov 2019
dundee.ac.uk,22 Nov 2019
leicester.ac.uk,22 Nov 2019
tcd.ie,27 Nov 2019
inria.fr,6 Dec 2019
gmail.com,12 Dec 2019
gmail.com,7 Jan 2020
gmail.com,7 Jan 2020
strath.ac.uk,8 Jan 2020
gmail.com,13 Jan 2020
hotmail.com,29 Jan 2020
gmail.com,3 Feb 2020
stfc.ac.uk,3 Feb 2020
mrao.cam.ac.uk,27 Feb 2020
helsinki.fi,27 Feb 2020
bath.ac.uk,5 Mar 2020
imperial.ac.uk,20 Mar 2020
kit.edu,26 Mar 2020
gmail.com,27 Mar 2020
joshpeck.org,7 Apr 2020
nottingham.ac.uk,29 Apr 2020
google.com,29 Apr 2020
gmail.com,21 May 2020
astrazeneca.com,21 May 2020
treebeard.io,31 May 2020
hpe.com,11 Jun 2020
nottingham.ac.uk,26 Jun 2020
gmail.com,26 Jun 2020
epcc.ed.ac.uk,1 Jul 2020
manchester.ac.uk,1 Jul 2020